Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_10_R1,SF ABF180_100,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,8.448433519,5.181084107,0,0.057671545,0
SF ABF180_10_R2,SF ABF180_101,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,9.384089893,5.843645359,0,0.056851966,0
SF ABF180_10_R3,SF ABF180_102,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,5.371889836,3.482575474,0,0.043894828,0
SF ABF180_11_R1,SF ABF180_103,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,8.310311265,4.292449075,-0.053914212,0.135323579,-0.017808988
SF ABF180_11_R2,SF ABF180_104,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,8.883759226,4.317479105,-0.065708116,0.111986621,-0.020517958
SF ABF180_11_R3,SF ABF180_105,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,8.38809791,4.257363666,-0.066673237,0.070182413,-0.018109391
SF ABF180_12_R1,SF ABF180_106,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,8.800331404,4.219795023,-0.075772798,0.128681248,-0.01569821
SF ABF180_12_R2,SF ABF180_107,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,8.829554098,4.001447655,-0.056866708,0.097872016,-0.02304885
SF ABF180_12_R3,SF ABF180_108,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,8.731536276,3.892817444,-0.06596013,0.102329606,-0.019838638
SF ABF180_13_R1,SF ABF180_109,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,9.157161164,5.044467411,-0.071080278,0.051863323,0
SF ABF180_13_R2,SF ABF180_110,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,9.809267748,5.483864241,-0.086688644,0.064560594,0
