Formal Type,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
THR,-0.9348222797650116,-0.8366733825062056,0.859776533911667,-1.457515444906246,-0.5175500679023628,-0.9125622224956977,-0.6358064811838418,-0.8062324025600347,0.01798083900312264,-1.6878838266050025,-0.9189886196667949,-0.9739560331274433,-0.6270605561288995,-0.6185058157507974,-0.818527328272971,-1.4086668371741382,-1.5572810783849285,-1.0087135356125643,-2.5475388812835646,-0.12159320824581243,-2.12008533569675,0.22349673761829436,-1.3737151306590683,-0.053421106552239195,-1.0049886183693566,0.37935814192692874,-0.6126576904587999,0.7019292195994815,1.2026700756572275,0.4700557659888531,0.0208807694654638,0.6860738937709883,0.2523943659390291,-0.25269037488765633,-0.28329227757125963,-0.09956761489561217,-0.8174627357658437,-0.9909229204843939,0.33961283537222187,0.27807962519625207,-0.033882289689124434,0.3885241154056409,0.05482442955318945,-0.07675957621404805,0.0,-0.03072274480074455,-0.4200346440537892,-0.23126225996707106,-0.5362433195225833,-0.5972654878212538,-1.0110705890942455
bALA,-5.64154822451264,-5.943541766560198,-5.399651466992033,-1.7877722833304723,-0.9087228319929679,-1.6207565448856514,-0.5795625913093083,-1.1558905795539651,-0.12726256705500916,-2.311068644569353,-1.0436611891043839,-0.9772142150370549,-0.9899714785840104,-1.909869831345837,-1.6356290132306661,-1.2332491036742326,-1.579104603336777,-0.7744633545559338,-2.7380516500565015,-0.3074242690083082,-2.614192684839413,-0.7986655438279051,-2.53930029222159,-0.6356073043458785,-2.159506204616843,-0.776684221120167,-1.5602162840915668,-1.5935963715848054,-0.8313784160072011,-1.8136956973691305,-1.5445991054367276,-1.5191893132464962,-1.6857977102917303,-1.7285961314752605,-1.9257006781923884,-1.0264835092546427,-1.7050833782569832,-1.2253594834055548,-0.16395052664531917,-1.525336550740544,-0.623730033169192,-0.3072139646239833,0.2593035668620587,0.029278580001133037,0.0,-1.388730326926538,-2.164631256648608,-1.9327552694420653,-1.256597182220041,-1.6606431078681752,-2.4022266004533464
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLCNT,-0.12735156704960815,2.147823009523023,-0.11462739381381581,-0.2380978887285643,0.0053889889524612045,-0.25045443122369093,1.1706160408514563,-0.2892694859439082,0.5169097739676367,-0.6124950167343464,0.3591818894722003,0.6081381759576345,1.205971422588778,0.21523005022921282,0.10378028022650909,0.049551085846125886,-0.5743075710948311,-0.2522867384442513,-1.0936932983254266,0.7870549428727109,-0.9064639713518048,1.587182201857857,-0.0837910099684187,0.8392161158004292,-0.43243859101836435,1.6982951847771837,0.22165672692966965,2.471820822319529,1.4477692434584846,1.5889370950797286,2.4203562309824633,2.848574089948599,1.659197113978827,2.543560775432688,1.6284126340789271,0.8028073965000999,2.797837776042954,1.0757726133270964,0.5404852735608188,3.3051685024280957,1.1884542515844245,1.6146465448627865,0.39404646072117444,0.6371373922973866,0.0,1.760557029167778,0.851904299613718,1.1770047975393751,-0.2927698157375964,-0.03543193213259954,-0.858537015768654
AMA,-4.075562757651326,-1.0806653635247478,0.20186697314030866,-1.1055573984066047,0.34140723523013605,-0.6622260991310753,-1.5372438249873372,-1.3873041781838111,-0.005214043696980752,-1.1006312945604986,-0.30138855221618144,0.34854062932860685,0.10173500524647139,-1.0790970616162046,-0.4002713151392392,0.45064194256927337,-1.2695893512711773,-0.44485135409498966,-3.843240773382707,1.5447485783396289,-4.063671568780444,0.430756550877053,-2.8373638791208897,0.5562040358453828,-1.910024645860533,0.7697426966810532,-1.4519532157915371,0.8933113298583351,1.4307690600285916,0.3155809127842488,0.4699323603173866,0.46803195056748237,0.2700225377014789,0.160012590499921,-0.6465678435836999,0.2134117878894699,-0.123128308550708,-0.5127548655450056,0.6569990484330219,0.5427629428569958,0.1514454267208265,0.5389614134175353,0.24853381421941023,0.06850333657210328,0.0,1.5035995665170532,0.8779914566739961,0.6982027336590484,-0.20730545472838813,-1.3704943010090016,-1.1112772887996556
GLN,-6.423254743984629,-2.2411942386727723,0.8895639200381424,-4.395685394573599,-0.8687187965233534,-3.6107388215882263,-4.2633099940018635,-3.939565532862586,0.4787998934411277,-5.65356564579972,-4.868536579055874,-0.16038078657638977,-3.8847080211630747,-5.675938522772817,-4.522233046761485,-2.490390318231409,-6.9490804563271915,-3.694698481505883,-7.490553133273469,0.24849872016705277,-6.437413896814082,-0.18631810603312005,-6.36504637349937,-0.0008533351419792723,-6.615347382693436,1.0795903881222841,-5.292725092764147,0.9702675787715584,3.17961786910006,-2.1267734353729537,-0.4636056850191572,-0.15314241771139336,-1.0482952008761792,-1.1402417802923104,-3.423531042949543,-0.9729816848810202,-0.9826185386208479,-1.8164714118020555,0.4521778664498619,0.6581254228854334,-2.086019760785071,1.1478319327173025,1.3866854483727344,-0.4666319508322765,0.0,2.607604132714613,0.0861025698354787,0.52186066618955,-3.8240427218567774,-5.100221982090089,-3.842303766648305
GLU,0.36064851411835974,2.4511802249981436,4.21426556852537,1.9777470041559262,1.2506262805292891,2.262903053024754,1.5330500908416376,0.4414661901091357,1.7060173177529414,0.10159958734118035,-0.467779113469156,1.6031805255376312,2.3668625419781577,0.9986448388798017,1.1443487485806045,-0.3582630542144045,-1.37824433779533,-0.15693715396049157,0.49442533961598656,4.97608473487492,-0.027664893452143957,3.429615085267425,-0.10528939421977768,2.0571094648372394,0.5892315620112534,4.78331358438696,0.7491395919417059,4.101078553482523,4.907735419589429,4.127170595136565,4.699848610510934,5.178781184723835,4.691107346412359,4.068778381800602,3.0057658870195496,1.784447946219558,3.814334452788838,1.7835910114640043,1.882295362133032,4.58810750606051,1.3401910404081825,2.270145749535118,1.36787904983996,0.09532289217324674,0.0,3.668725526190915,3.102656838554619,2.6250584320222643,1.408305923691291,0.6889090581937936,0.9869919148192317
C180,-0.08264521032434047,-0.19425206274065232,0.1321326927544071,0.03637554982623925,0.27082535556187537,0.0808659516834993,-0.4417472570844403,0.049357197004972875,0.2882842250839168,-0.26808169945059035,-0.35705121633048975,0.2612628838250508,0.9290913613431684,0.04952194355333006,0.13969248852339078,-0.12098908848340528,-0.4467883018048404,0.16379717597468257,-0.21594650901646517,0.3528955391205386,-0.6830175385742088,0.02424922623693604,-0.9199350347596891,0.12967621011592456,-0.48990364854225277,-0.5744239958505446,-0.046542443383600585,0.19543438298815374,0.257194625019622,-0.19631391389783204,-0.19973291677092675,0.1651933753135424,-0.31858347340108395,-0.1397891902576731,-0.3703433720039655,0.21964041803670042,0.1831436416268062,-0.22327026464162714,0.13834707177733208,0.11600596450525202,0.4433759148615124,0.2075806672006415,0.30480575909985674,0.14637936034396404,0.0,0.16536786111191049,0.09207249902939552,0.1598692651357716,-0.16712463297856317,0.004914748126040536,0.16610684775503515
C140,-0.7554970461295412,-1.6075535736127904,-0.2385698280542492,-0.27908110865261193,0.07275248232672382,-0.3677502371616015,-1.6656627480683959,-0.5078517205313737,-0.002221601875309176,-1.310135073758719,-0.9168888584085657,-0.26031278468960295,-0.007591994212354791,-0.0955248098049779,-0.35797225900586227,-1.4824583063995007,-0.9782900418718761,-0.17264271613110438,-0.532644766871325,0.26041420447801755,-1.5926342752595275,-0.015911943049477628,-1.4979420782422643,-0.11379392066922378,-0.9451829853777198,-2.0514817778226515,-0.20159739052807524,0.2326508440211157,0.19751527388757495,-1.1280261428851048,-1.2718867988774,-0.1573886233628592,-1.1692384738206307,-1.3975373794925794,-0.6061881995187548,0.06782259802077206,-0.1145173534933015,-1.0391659791750314,0.22691587640596111,-0.37694395610084186,0.1879308309563683,-0.13259356553788493,-0.06531189559634143,-0.08443965975081014,0.0,0.08174353844614402,0.32781634576742036,0.14168749328714725,-1.0875919712560709,-0.30061239484105684,-0.004581918566724852
AKG,2.0207495127595188,4.71304198856803,0.5516090663669573,3.2203264954796467,2.9548833230695415,1.9853015238011942,3.7833284550642965,2.6758824238204113,3.1794762257036098,2.280744481979271,2.594526434776178,3.8734428849193456,4.033814101682729,3.2947989612949407,3.299449627143236,3.070792291215696,1.4951323770664757,0.10501400218182155,3.158157586644535,3.672454693240862,1.500961950006312,3.5650781364028816,2.7249169525155175,1.9565159860198662,1.564124391358284,4.687172256445578,2.466563633356831,4.275242321343178,3.4824751867810413,4.338961237986496,4.416600152847725,5.38677968211595,4.398090695065722,5.101992958830827,4.2813130877767165,1.772103551736583,4.5162440166069615,2.0623669881566684,1.1001880339693955,5.453646911782993,3.4446908408686063,3.0010359640903133,0.8764880366622698,-0.7852440015384534,0.0,3.634749201812145,3.965897586296421,2.928581885708713,0.6595732399518717,2.183664391068435,0.9757309852368543
CIT,-0.43528071918622757,-0.05195207963472015,-0.398127720768759,-0.2915397802583861,-0.05512540853298731,-0.1157954804316006,-0.18010843112540442,-0.24734776859315133,0.012010979097244245,-0.24734776859315133,0.059079232754022826,0.13051174129851617,0.16631245607905143,-0.10584508762992328,0.10239858935030455,-0.013956172100428432,-0.1986217287767289,-0.07619962588139728,-0.7889176738009276,0.10163710616435395,-0.6154348529454268,-0.41225684623513814,-0.2146815796728312,-0.11787597075581857,-0.08109842529423616,-0.4227897750030287,-0.18273868717007602,-0.36788143390063865,-0.5803310519895106,-0.2807707701306015,-0.16702860408141262,-0.2418517808382994,-0.2695435147073475,-0.16702860408141262,-0.08601391570835304,-0.17224631335243146,-0.15664945830141264,-0.26396248244404674,-0.2309222206800392,-0.00464636485636305,0.12482841008107215,-0.06160224966843941,0.1412939960422115,0.045658716991702875,0.0,-0.12291860098886431,-0.16598732288074913,-0.18115995816968677,-0.05195207963472015,-0.16182969740709297,-0.0958954272223167
MYOI,-0.1719973690071086,0.006211229745183289,0.02511839468226995,-1.6753868154254974,-0.12028584313305046,-0.8976947184446544,0.2800827971467612,-0.03880758765221515,0.11075163539832644,-0.08047290247682781,0.14078794811253914,0.42761876415804423,0.03401746603084277,-0.5452791125593919,-0.06659963109087741,-0.3734474117874029,-1.0438223044657668,-0.8121181791268803,-1.4494250334044487,-0.2753269900561719,-1.346445398048914,-0.29378368980653846,-0.954525555834099,0.1101649046444102,-1.3897800021715128,-0.7566808674648442,-0.6164558154734081,-0.7024984417515192,-0.3326498580957029,-1.0792011204382064,-0.8484865579331213,0.1870895668424346,-0.7634958610873568,-0.5574010409517136,-0.9338169836796375,-0.36097908066799533,-0.981298506826672,-0.5512098753674906,0.5526256681642323,-0.7209012697807076,0.954335539283786,-0.2763064524497558,0.31560317169488883,-0.9765883719396307,0.0,0.20056516790663892,-0.7534972014419559,-0.28547442313659843,-0.5387189020450727,-0.5558001584793111,-0.17817409399371797
FUM,-1.0609503927527975,0.992409314431054,0.2453672574372412,-0.7324001403123503,0.15168364153711877,-0.7255176708836082,0.9435403057227809,0.03384507322183339,0.7371700830739094,-0.5477508068719459,-0.20900541771027648,0.39873019528322473,0.9540538870530533,0.4253983383751745,0.0722802542813632,0.15533491451102321,-0.43138942224049615,-0.3991478187865347,-0.23027697291484728,0.7632245440178949,-0.5735009324556124,1.045679804202237,0.25353282941227206,1.063039519560931,-0.10544029524329446,0.925399848962698,0.31937842901918856,0.6485180324613609,1.0906485248722184,0.3979930429776459,0.46901539149634885,0.7704958291664319,0.4600546607762226,0.24821534033775805,0.1681736442802304,0.5647243525695771,0.054765300096789815,-0.5094029139119236,0.49481433062617697,1.4471012287552973,1.4540032738844815,1.2600310919749589,-0.21844499961474284,-0.10732836457157902,0.0,0.6249066706742319,0.3807400296831638,0.21021160723058685,0.2008445745919154,0.26510050255744844,-0.7198788095739559
GL,1.1295909426814532,1.1058275976249625,0.6872004276208195,0.30813965334722226,0.7686956173200521,-0.3739380244364341,1.136230781020842,1.0786810653131411,0.8069749481578299,0.9152927166992946,0.4972003492812007,1.1715476302752705,0.9679364260306826,0.6733185720050052,0.875007295375795,1.7103280867141386,0.3126966190993734,-0.23973893198868979,0.8136061637328922,0.8733936962094901,0.40373080866045186,0.6143872138409456,0.6951232069740456,0.4430530496079932,0.24548455578059958,0.3866725983757604,-0.001879620231807877,0.43591163977852077,0.3997523819107478,0.26878081071887294,0.7690496488624952,1.075917657393859,-0.020544591426702397,0.14857040499006757,0.15827368928495034,0.1081726009312618,0.5670450101560682,0.2596862128312978,0.39831592122901327,0.5824757134291296,1.629294695595778,1.3376358823564516,0.43016459709022214,0.21078429492424888,0.0,0.2764048359242146,0.49437330458371775,-0.1297847437604709,-0.20523995565789122,0.158202082381667,0.2586244896690957
C160,0.2648485200554447,0.497057841928612,0.361058398476203,0.20482510299773082,0.6528434234701201,0.17506502637303,0.4873840812700827,0.40423943075621693,1.0618790942671765,0.11800237992548901,-0.003826948880362835,0.9655932806105341,1.508783660107742,0.30630663165117866,0.5930505107113078,0.46072501294576895,-0.27177646463103855,0.1606380568069028,-0.021250409390180636,0.8391837630648453,-0.900901439502654,0.3625423293240111,-0.9759410584564314,0.34313869351351656,-0.5406478068212195,-0.4482332237379616,-0.017484011890164908,0.5687235014418093,0.6380640933845072,-1.5911437479587676e-05,0.21081706280745038,0.9219482198413829,0.05008676648733612,0.5319205144662824,0.3588031447823887,0.712547807023796,0.8621637561126647,0.04242678249833176,0.8358456671844543,0.6558756844603337,1.3043180714267528,0.6945708186020845,0.4715877810064164,0.1982765366893986,0.0,0.31682246667375225,0.444775222047884,0.4912801632785211,-0.017045434630883705,0.11614813278275449,0.5328068532918699
LEU,-1.9743162844406434,-5.425630472201442,-0.8772942465648264,-1.7897839469051355,-1.8020185784689637,-2.0120160758227996,-2.8051873161937095,-2.926848817935543,-1.3298937399569617,-2.684669338919157,1.1556905906060209,-2.0472943277626072,-1.4238552020633612,-1.8721935014298055,-1.2335320079523058,-1.0896285157997063,0.28513891598261054,-1.4176947568024758,-5.439647050582742,-0.8530484185176235,-5.662639704810342,-1.0650274582353454,0.13723331455263477,-1.5362979055200903,0.2154984236016979,-0.026236220274771682,-1.3119413138102942,-0.10032926780435858,-0.1895474071620349,-0.7250455463530088,-1.7865646411419043,-0.5913574739585385,-1.4992736863926126,-2.697338047254174,1.3388012892439782,-1.6383715581989655,-0.5325693745963243,-1.162859376646427,0.780640463564982,-0.5173526646761957,-2.2355243518649175,-1.3688379602783698,-1.89697045549347,-2.2410160852567707,0.0,-1.2657679363599073,-0.06777154166543653,-1.3218134154770453,-1.8020866501901622,-1.637817132636897,-1.4614076095576571
GL3P,0.09888902536819799,0.24278286508399916,-1.0135993907727219,-2.1649109902604557,0.5309585986029255,-0.918825290176585,0.19852387526363913,0.6756256421200462,0.9632179727839727,0.3887540706904673,0.22096000160019713,1.0854166750725724,0.7970364341532026,0.29462443958284723,0.3244640607131366,0.42718058393536396,-0.26213731513638194,-0.5276125977079111,-0.21242563242204326,-1.0798684737810937,-1.8490251339313417,-0.7678394223034353,-0.24404266546875064,-0.8797686024576983,-2.014581844857183,-2.814017760132817,-0.3351702015045426,-1.3010883481509161,-1.8888558401494961,-1.4279518284854689,-1.232731575823717,-0.5339397567125452,-1.26441811125029,-1.0173498537427825,-1.5057032424552403,-0.5953764474420105,-1.2722551996916067,-0.9831461518338003,0.30297042576188105,-1.4131669590714573,1.488441603464608,-0.3241815164521924,0.23131555219733002,-1.4290161245765454,0.0,-0.8404842629843507,-2.529635239391883,-0.8882069423263559,-1.0731876959748696,0.5590367145461705,-0.32605536950450187
