ID,Entry name
jgi|Aspni7|1082400,G3XRW1
jgi|Aspni7|1082401,G3XT89
jgi|Aspni7|1082407,G3XQY0
jgi|Aspni7|1082410,G3XQY2
jgi|Aspni7|1082412,G3XRF3
jgi|Aspni7|1082437,G3XQR0
jgi|Aspni7|1082505,G3XRZ8
jgi|Aspni7|1082510,G3XRV4
jgi|Aspni7|1082512,G3XS29
jgi|Aspni7|1082516,G3XRG8
jgi|Aspni7|1082546,G3XSA1
jgi|Aspni7|1082594,G3XSG8
jgi|Aspni7|1082604,G3XRE9
jgi|Aspni7|1082626,G3XQV9
jgi|Aspni7|1082629,G3XTI2
jgi|Aspni7|1082668,G3XS89
jgi|Aspni7|1082721,G3XTT2
jgi|Aspni7|1082759,G3XRI3
jgi|Aspni7|1082763,G3XTJ3
jgi|Aspni7|1082784,G3XTE0
jgi|Aspni7|1082826,G3XS44
jgi|Aspni7|1082848,G3Y3M4
jgi|Aspni7|1082947,G3XRL2
jgi|Aspni7|1082955,G3XQN9
jgi|Aspni7|1082974,G3XVI4
jgi|Aspni7|1082982,G3XT06
jgi|Aspni7|1083010,G3XQZ7
jgi|Aspni7|1083022,G3XS53
jgi|Aspni7|1083117,G3XRE6
jgi|Aspni7|1083123,G3XR64
jgi|Aspni7|1083127,G3XRL0
jgi|Aspni7|1083140,G3XPT8
jgi|Aspni7|1083192,G3XQM5
jgi|Aspni7|1083194,G3XSP0
jgi|Aspni7|1083200,G3XRJ6
jgi|Aspni7|1083218,G3XTS4
jgi|Aspni7|1083352,G3XQX4
jgi|Aspni7|1083364,G3XSS6
jgi|Aspni7|1083373,G3XSX8
jgi|Aspni7|1083442,G3XS91
jgi|Aspni7|1083446,G3XSV6
jgi|Aspni7|1083463,G3XQY9
jgi|Aspni7|1083607,G3XQG8
jgi|Aspni7|1083632,G3XRN8
jgi|Aspni7|1083645,G3XRE1
jgi|Aspni7|1083676,G3XSG3
jgi|Aspni7|1083684,G3XTF4
