Entry name,Transcript
A7U8C7,PAND_Tribolium_castaneum
C2ZAL1,BAPAT_Bacillus_cereus
P3983,HPDH_escherichia_coli
ABF_005934,PAND_Tribolium_castaneum
ABF_005935,BAPAT_Bacillus_cereus
ABF_005936,HPDH_escherichia_coli
G3XXY1,1014609
G3XPM9,1014660
G3XY08,1014746
G3XY45,1014945
G3Y6M5,1014952
G3Y174,1015018
G3XYH1,1015328
G3XYI7,1015404
G3XYI9,1015414
G3XYJ5,1015451
G3XWX8,1015572
G3XWY5,1015603
G3XX14,1015763
G3Y053,1016297
G3Y0D1,1016650
G3XSV6,1016721
G3Y0M4,1017116
G3XWG6,1017200
G3XYP1,1017465
G3Y4D2,1017685
G3XYW0,1017743
G3XYY6,1017846
G3XZ09,1017962
G3XRQ8,1018021
G3XZ54,1018151
G3XZ56,1018170
G3YEA5,1018524
G3YEC8,1018558
G3XZF0,1018718
G3XZF3,1018747
G3XZH6,1018858
G3XRN5,1018874
G3Y4K5,1019111
G3XZM2,1019169
G3XZN4,1019219
G3XZN5,1019226
G3XZU6,1019420
G3XZW1,1019508
G3XZW4,1019516
G3XZW5,1019520
G3Y2P3,1019706
G3Y1G5,1019732
G3Y1H5,1019794
G3Y1R0,1019999
G3Y1X5,1020110
G3XS38,1020186
G3Y204,1020247
G3Y272,1020361
G3Y2B0,1020553
G3Y2I2,1020663
G3Y2J9,1020757
G3Y2R8,1020874
G3Y2T0,1020930
G3XQ86,1021014
G3Y2V2,1021017
G3XZQ6,1021190
G3YF34,1021250
G3Y348,1021282
G3Y350,1021290
G3YDL8,1021297
G3Y3A6,1021407
G3Y3B2,1021442
G3Y3B7,1021467
G3Y3E4,1021657
G3Y3F5,1021683
G3Y3G3,1021731
G3XYT9,1021733
G3Y0K4,1021736
G3Y2A6,1021737
G3YGD9,1021844
G3XWT3,1021873
G3XVR4,1021929
G3Y3R0,1022190
G3Y3U0,1022303
G3Y0Q6,1022562
G3Y111,1022835
G3Y128,1022934
G3XRZ8,1022942
G3YES8,1022988
G3Y1A0,1023006
G3Y1A8,1023059
G3XUM4,1023362
G3Y4L3,1023466
G3Y1X0,1023555
G3Y224,1023568
G3XZ20,1024175
G3Y2W7,1024201
G3Y2Y2,1024304
G3Y305,1024420
G3XRK2,1024649
G3Y446,1024802
G3Y450,1024820
G3YA12,1025325
G3XX24,1025436
G3Y4S9,1025773
G3Y4U5,1025854
G3Y4V1,1025889
G3Y4V0,1025894
G3Y574,1026215
G3XMM6,1026310
G3XSV6,1026311
G3Y5B9,1026385
G3Y5C2,1026416
G3XSM8,1026599
G3Y9A9,1026638
G3Y5K4,1026798
G3Y418,1026907
G3Y7H0,1026989
G3Y5Q8,1027028
G3Y5S8,1027115
G3Y9J0,1027184
G3Y5V5,1027256
G3Y5X5,1027386
G3Y5Z8,1027508
G3Y665,1027613
G3Y662,1027809
G3Y672,1027901
G3Y6C8,1028120
G3Y6G8,1028197
G3XPR7,1028281
G3Y6J6,1028341
G3Y6M0,1028444
G3XNY2,1028516
G3Y6N4,1028538
G3Y931,1028539
G3Y505,1028722
G3XMJ6,1029013
G3Y607,1029021
G3Y700,1029101
G3Y705,1029149
G3Y190,1029872
G3Y786,1030027
G3Y789,1030086
G3Y7A0,1030126
G3Y7C0,1030262
G3Y7B9,1030265
G3XQI2,1030466
G3Y7F6,1030479
G3Y5Q4,1031029
G3YD20,1031156
G3Y9V6,1031190
G3Y9V8,1031201
G3Y9W3,1031231
G3XM54,1031266
G3Y9W9,1031277
G3Y9X6,1031305
G3XM10,1031436
G3Y8N0,1031996
G3Y8R1,1032162
G3Y8X5,1032309
G3Y7J9,1032373
G3Y904,1032479
G3Y925,1032586
G3Y932,1032626
G3Y938,1032669
G3Y9A4,1032955
G3Y9Q4,1033753
G3Y7Q7,1033854
G3Y1G8,1033856
G3YAP4,1033863
G3YA79,1033921
G3YBW8,1034818
G3YDJ8,1034938
G3YC55,1035040
G3Y5N3,1035098
G3YCQ8,1035138
G3YCB7,1035270
G3YCF3,1035443
G3YCV2,1035818
G3YCW4,1035868
G3YCW6,1035884
G3Y7L2,1035974
G3YAS8,1036334
G3YFS2,1036562
G3YB82,1036678
G3YBH1,1036923
G3YBY6,1037290
G3YBY9,1037314
G3YC91,1037649
G3YC95,1037683
G3YDE0,1037827
