rxn,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
r18,3.486277475297439,2.1531256301673727,2.9364992942125427,1.0557370437588223,1.0662734422262552,1.2074410163339384,1.2054143980641259,0.9937285743093365,1.0383040935672514,1.3237447065940713,0.9331014317402702,1.076386368219399,0.8326477112321033,1.292760637225247,1.2241580963904013,0.9305605968945351,0.9249647106271426,1.0284129864892113,0.8023694293204275,0.9341601129259931,0.8273139745916515,0.9287457148618672,1.0089231699939505,0.8744605767291793,1.2792800967937084,1.0517947166767494,1.261746319822545,1.5307622504537206,1.624440411373261,1.5453518854607782,1.2306815890300464,1.1569973785037306,1.6763258721516434,1.0532365396249244,1.0126638435168382,1.0806513409961687,0.9745210727969348,0.9528735632183908,1.0429219600725952,0.8069973785037305,0.8499092558983665,0.9257410768300061,0.8987900786448881,0.9768804194394032,1.0,1.2373966525509175,1.3985380116959065,1.3038515829804396,0.9913692276668683,1.0030147207098206,1.239614841701956
r19,0.7840701448168653,0.7765974854774048,0.9044235961491259,1.065713038972373,1.0155862219434368,1.342760520358906,1.2152753156789484,1.2042845065044863,0.9096735484222871,0.6400578176562032,1.059126735211498,1.0688084653775876,1.07011754438596,1.2316797120026182,1.2364387596476394,0.8851010445359587,0.9723047972291162,0.9933318788011019,0.9901273624785228,1.0523904328142473,1.1397714566231214,1.0956582212888972,1.1108217198025474,1.1603621785256497,0.829260643085063,0.841096899119099,0.8044972318433469,0.5073635694220962,0.5527858837646931,0.5841355987672839,0.47548204107235387,0.48763193061881255,0.5838765102135435,1.2139798729102464,1.1570212998063654,1.3412332615158042,1.2037390569176645,1.121730711538986,1.24862955791311,1.086126489759184,1.1391987345569587,1.0390405541767802,1.129585185589222,1.1201489077372024,1.0,1.2391932800610903,1.3310197180025636,1.3138244197780018,1.1871028445195952,1.190102817247116,1.2705020863446697
r22,1.3603860495722744,1.2540657412339797,1.3022279321906431,1.189358568608404,1.009713909691975,1.201297276971767,1.130636417760787,1.0466267665214801,0.6582897251903613,0.8646006329708895,1.2451038761633189,1.2308776987434586,0.9288691129006987,1.149061510982985,1.2512769090966063,1.0632030833829473,1.0795913890890858,1.0637984520414878,1.0983298342368313,1.158493403941967,1.0382916053019144,0.9841443925672921,1.1096731739416539,1.046250744210823,1.0568420392943312,1.0506376711684893,1.0799047410146334,0.9615830539278662,0.8780434305768808,0.9102246733306176,1.0033842007959137,1.2204117444301694,1.1110519224140631,1.166421207658321,1.0819728637232475,1.1660138501551092,1.129759032369254,1.034844734120891,1.2541284116190894,1.0145081941528529,0.9204712812960235,0.9813555604299188,1.164227744179488,1.1468053771190423,1.0,1.336226616112556,1.4076081847522954,1.428634098956538,1.1245887255977187,1.0501989784727226,1.1938395011437344
r23,0.7443757095526053,1.0339890178633488,1.0185815898612172,1.0852853270313476,1.001946201431848,1.0116308704617594,0.74854614119228,0.8500266444243646,0.46667130047959965,0.4859247932160979,1.5291814369453902,1.2611848659669607,1.566645814508468,1.1064155140056995,1.0894789277356873,1.3164430851926505,1.1451541901253446,1.0601005537406454,1.525451217534348,1.6424781631565533,1.1459882764532794,1.0414726257500984,1.0779639025972523,1.562846087903431,1.1189036398600587,1.4987604550404299,1.0973795787864042,0.944579597321656,0.9898056115474618,0.7707884432705452,0.7964829359838742,0.8841083385463727,1.048284330761567,1.1786566576307311,1.2902157039920297,1.2681355853664185,1.0897337874470006,1.0104492481638516,1.4634971386205138,1.3531660526864528,0.7773452885707003,0.7738699288709713,1.5057575125692175,2.117606172238826,1.0,1.771135979240518,1.428141145941938,1.5182919765529066,1.2615787400662635,0.9024118996316117,0.8546836264220012
r24a,2.062126160507871,1.7464680195222195,1.874133059337272,0.711680305309897,0.8077501743055301,0.8305750247697333,0.8718579134710653,0.7022127628343915,0.8771788191259037,1.0068988294007561,0.8833437305053026,0.975450442185608,0.655865839785696,1.1572419360757404,1.0488055484202417,0.6043814905875015,0.7309823492715863,0.7792007632747423,0.7041943414920554,0.6770393747018458,0.7295512091299402,0.7351289860922536,0.845877215515027,0.9000403654911747,1.0416131518109428,0.875380719973579,0.9073795457047448,1.2644306630949325,1.2293126857729992,1.014054530108987,0.767935121646912,0.9401856812594034,1.213643536017027,0.9027558621701955,0.9002972367986497,0.9155260357418078,0.7189093978202635,0.652416425085318,0.7978055851161425,0.7371839565520533,0.8624637627976957,0.7261384903306302,0.7918975450442186,0.8385013394003891,1.0,1.0019448827565962,1.000293567208543,0.9643682800631169,0.8462441745257054,0.8549411030787862,1.1126931121793697
r25,2.063593683311993,2.2974818608621423,2.559965855740504,0.6790439607341017,0.7575757575757576,0.62569355527102,0.7319675629534784,0.755868544600939,1.0738369611609049,0.8143405889884763,0.9402475458813487,0.9376867264191208,1.0755441741357235,0.9568928723858301,1.0405463081519422,0.917626973965002,0.8083653435766113,1.0042680324370465,0.7733674775928296,0.8711054204011951,0.6820315834400342,0.7208706786171576,0.7306871532223645,0.9125053350405463,1.0968843363209562,1.0580452411438328,0.9419547588561673,1.1933418693982076,1.1540759709773794,0.720443875373453,0.8766538625693555,0.9423815620998721,1.227059325650875,0.8689714041826718,0.9014084507042254,0.873666239863423,0.7985488689714042,0.6470337174562527,0.8433632095603927,0.7580025608194622,0.5966709346991038,0.6325224071702944,0.9816474605207,1.1848058045241145,1.0,1.0985915492957747,0.9876227059325652,0.9483568075117371,0.7737942808365343,0.8420827998292788,0.7528809218950064
r26,1.2079438151051896,0.7492785729623287,1.3779125489025406,0.7090514871085835,0.7733802588234062,0.7867194578429987,0.5161123069429825,0.47474350715666097,0.568866822735819,0.567698922703872,0.7130946208514672,0.7205524219523308,0.7578519018963974,1.0185449955745494,0.7061762533976464,0.8564373288083754,0.8247888091085729,0.9353727067523476,0.9067408257000855,0.9275011652814221,0.7500693931633333,0.7421873772526593,0.7337816393545651,0.8803504747539816,1.1061793957295711,1.200742637778162,1.2787457905845263,0.5645199302402314,0.7052649771395354,0.560078767786908,0.7410823238592027,0.6011280971609031,0.8785226850178851,0.8479635070519167,0.9556669337648803,1.0961815429897195,0.8957950361630034,0.780555250051063,0.7379452291545557,1.2081480666802835,0.5670233213400998,0.7027877721390378,1.0421386711078293,1.4715959380122656,1.0,1.116449583902881,1.0961344080108517,0.8242022404826622,0.8723532400060752,0.8727198453972693,0.6100942175855371
r27,1.7637600640949866,1.2887242733493574,1.600793306802212,0.785076900849784,0.7887124525526354,0.8913379828467106,0.8178599104246294,0.7957208715867451,0.8202109355503895,1.1477179295217832,0.8325728620775708,1.0438971853369583,0.706166515623153,1.0847735004005936,1.0311280980338076,0.8022564587519867,0.7658326437868579,0.7825551308824882,0.6663619527956185,0.7512799296005884,0.736690439602296,0.7498640608377005,0.818971065316469,0.7347334410339258,1.0463138815556168,0.7962409866424998,0.9162404612737566,0.9059642486570262,0.8533144200585786,0.9438380813533499,0.82026872611214,0.8732994470493978,1.0113453380091153,0.8722644706253202,0.7903752446248211,0.9342553554776258,0.8389324507138448,0.7041937559924872,0.776234944901953,0.7203987548760786,0.8014684056372067,0.8060075915783391,0.8136911094474434,0.7950063700960113,1.0,1.0097088143740889,1.0729185547105875,0.9033058828165019,0.8471702326070111,0.9599826628314748,0.9588426126587598
r28,1.7637600640949866,1.2887242733493574,1.600793306802212,0.785076900849784,0.7887124525526354,0.8913379828467106,0.8178599104246294,0.7957208715867451,0.8202109355503895,1.1477179295217832,0.8325728620775708,1.0438971853369583,0.706166515623153,1.0847735004005936,1.0311280980338076,0.8022564587519867,0.7658326437868579,0.7825551308824882,0.6663619527956185,0.7512799296005884,0.736690439602296,0.7498640608377005,0.818971065316469,0.7347334410339258,1.0463138815556168,0.7962409866424998,0.9162404612737566,0.9059642486570262,0.8533144200585786,0.9438380813533499,0.82026872611214,0.8732994470493978,1.0113453380091153,0.8722644706253202,0.7903752446248211,0.9342553554776258,0.8389324507138448,0.7041937559924872,0.776234944901953,0.7203987548760786,0.8014684056372067,0.8060075915783391,0.8136911094474434,0.7950063700960113,1.0,1.0097088143740889,1.0729185547105875,0.9033058828165019,0.8471702326070111,0.9599826628314748,0.9588426126587598
r29a,0.6765946908723771,1.2256807856061112,0.8744630389850365,0.7936736229509759,1.0472144700873427,0.7609368600520056,0.7806151120593586,0.805198639857509,0.9547666898436978,1.1316137881111357,0.972492356342093,1.2678661574069665,0.9624532093838402,0.9673680099819981,0.7983788777871967,0.9819981140881426,0.9450323367209897,1.0301650649115623,1.0959148101229652,1.2623608187524407,0.8982179085427997,1.0549581384716495,0.9031898579851223,0.982226709464801,0.7427159035708503,0.968958652811247,0.860633018697197,0.820219261065445,0.8200287649182295,0.7429444989475088,0.9469087237710617,0.9266113592852584,0.8745201878292012,0.8644334168341445,0.9309832458638523,0.84572669517759,0.8919124860699693,1.0370515006333996,1.0819800169541571,0.7127984836506682,0.8899503757536504,0.7082361009248588,0.9056186838621189,0.8634809360980674,1.0,1.4852603606092067,1.2475116440769984,1.2147653563706675,0.8067416586499537,0.7564316261703606,0.7458495651925441
